Instance,Breathing_relax,Breathing_stress,Breathing_valence,Breathing_arousal,Video1_relax,Video1_stress,Video1_valence,Video1_arousal,Video2_relax,Video2_stress,Video2_valence,Video2_arousal,Counting1_relax,Counting1_stress,Counting1_valence,Counting1_arousal,Counting2_relax,Counting2_stress,Counting2_valence,Counting2_arousal,Stroop_relax,Stroop_stress,Stroop_valence,Stroop_arousal,Speaking_relax,Speaking_stress,Speaking_valence,Speaking_arousal,Math_relax,Math_stress,Math_valence,Math_arousal,Reading_relax,Reading_stress,Reading_valence,Reading_arousal,Counting3_relax,Counting3_stress,Counting3_valence,Counting3_arousal,Relax_relax,Relax_stress,Relax_valence,Relax_arousal,Most_stressful
hh2e,6,5,,,8,2,,,7,3,,,6,5,,,3,7,,,6,6,,,6,6,,,5,6,,,8,4,,,5,7,,,6,6,,,Counting2
wfsl,6,4,8,3,6,3,7,2,4,7,4,2,1,9,2,8,0,10,1,9,4,7,4,7,5,4,5,5,2,6,3,6,3,5,5,6,3,7,3,6,,,,,Counting2
37ir,9,2,5,3,3,3,8,8,5,4,5,8,3,4,4,8,2,6,3,9,1,7,2,9,1,8,2,8,6,3,6,8,3,7,3,7,5,6,5,8,7,1,7,6,Speaking
hvpa,9,1,7,8,7,1,7,7,7,1,7,6,6,3,7,7,5,4,7,8,5,3,7,8,6,3,7,8,5,4,7,7,7,6,5,8,5,3,7,8,6,2,6,5,Reading
ql3b,10,1,5,2,10,0,8,4,2,9,3,3,4,2,6,6,4,7,6,6,1,8,5,9,0,8,5,10,1,7,7,9,0,9,6,10,1,9,6,10,10,0,8,8,Speaking
r0a3,10,0,8,1,10,6,9,9,7,5,8,8,7,5,5,3,3,7,5,2,2,6,5,3,9,2,9,7,5,6,5,3,5,6,6,3,2,8,3,6,10,1,6,2,Counting3
qx2o,9,2,8,2,9,1,9,2,9,2,9,2,7,5,5,5,4,7,5,6,7,2,7,2,3,7,2,8,6,6,5,6,8,2,7,3,3,6,5,6,4,5,5,3,Speaking
wssm,8,0,6,1,5,3,5,4,7,2,5,2,5,6,4,7,2,6,2,7,5,4,5,6,3,7,2,6,10,1,9,10,6,2,5,8,4,4,5,6,7,0,7,0,Speaking
ctzy,9,0,7,7,4,6,4,7,4,6,5,5,7,6,7,9,4,6,6,9,2,7,10,10,4,7,9,9,2,8,9,10,5,6,4,7,5,6,9,9,9,1,5,1,Math
uyrl,9,1,6,5,7,3,6,6,7,3,6,6,6,3,5,6,6,5,5,5,4,6,6,7,4,7,4,5,4,6,3,5,6,4,5,7,4,6,7,6,8,2,5,4,Speaking
v8mh,9,0,6,4,8,1,8,8,8,3,5,8,3,6,4,9,3,7,4,8,2,7,4,8,4,4,6,4,4,5,5,9,6,6,5,6,3,7,4,9,7,3,6,4,Counting2
45lx,7,0,8,4,7,0,6,3,4,3,4,5,2,7,5,6,1,8,5,6,4,7,5,7,3,8,3,8,6,3,6,6,7,3,6,6,1,8,5,8,7,0,6,1,Counting3
r3zm,6,3,5,2,1,8,1,8,2,6,3,6,5,5,5,7,4,6,5,7,3,7,3,8,7,2,7,5,3,6,6,7,3,7,4,7,3,7,4,7,7,2,6,1,Counting2
2hpu,9,2,6,3,5,3,6,7,5,4,5,7,4,7,8,9,6,6,9,10,3,6,5,8,3,7,4,7,4,4,9,9,7,4,6,7,2,5,8,9,8,3,6,6,Counting2
4woj,8,3,7,3,8,2,8,6,8,2,7,8,3,8,4,7,6,4,6,8,8,3,7,8,2,8,4,8,8,3,7,8,4,6,5,8,5,5,6,8,8,1,8,2,Speaking
cxj0,3,7,5,7,5,1,8,3,2,2,5,7,0,7,6,10,0,9,3,10,4,7,7,9,6,3,6,6,3,6,5,8,6,3,5,3,4,7,6,8,6,4,5,0,Counting2
tmvd,7,1,6,3,7,2,7,5,7,2,5,3,6,3,7,8,5,4,5,8,4,4,6,9,5,5,4,8,4,6,5,8,8,2,7,8,5,5,5,7,8,1,6,1,Speaking
2ea4,8,2,5,2,6,3,7,7,6,3,5,6,4,7,5,8,5,6,5,7,7,4,5,6,4,6,5,7,6,6,5,7,7,4,5,8,4,6,5,8,8,2,6,3,Counting1
71i5,7,5,5,2,3,5,7,8,2,6,5,8,0,9,7,9,1,8,2,9,7,7,8,8,7,2,8,9,1,9,1,6,9,2,7,9,7,5,8,9,8,2,7,8,Math
kkf5,9,1,8,2,6,7,7,8,4,7,6,8,6,6,8,9,3,8,6,9,2,9,4,9,3,6,5,6,7,7,7,8,6,7,4,8,6,4,7,8,9,1,8,2,Stroop
uymz,6,3,5,0,6,3,5,6,6,4,5,5,6,3,5,7,6,3,5,7,5,5,5,8,6,3,5,8,5,4,4,8,5,5,5,8,3,6,2,9,6,4,4,2,Counting3
iqyg,8,1,7,2,3,7,8,3,5,2,5,2,3,7,5,8,3,8,5,8,2,8,4,8,1,8,4,9,7,6,5,8,6,6,7,8,4,6,6,9,7,2,7,1,Stroop
9txq,8,0,9,3,3,6,7,8,2,8,3,7,1,8,5,10,0,10,2,9,4,7,7,9,3,8,5,9,3,6,4,8,6,2,8,7,2,7,3,10,10,1,7,2,Counting2
kycf,8,3,7,2,7,4,7,6,5,5,5,7,5,5,6,8,4,6,5,7,4,7,6,9,5,6,5,8,5,5,5,8,7,4,7,8,6,4,7,8,9,2,8,4,Stroop
k67g,8,0,6,0,3,3,7,5,3,6,5,3,7,2,5,0,3,5,5,2,1,7,6,4,3,7,4,3,3,5,5,3,8,1,5,0,3,7,5,3,9,0,7,3,Counting3
chdf,4,4,5,10,3,1,5,3,2,4,5,5,2,4,5,8,1,7,5,10,2,6,5,10,3,5,5,10,1,6,5,10,7,0,7,10,3,6,5,10,5,0,5,3,Counting3
bfl5,8,1,6,6,7,1,7,8,6,2,6,7,6,2,5,8,5,3,5,9,4,7,4,9,5,3,5,6,6,4,6,8,4,5,4,6,6,6,5,6,6,2,5,4,Stroop
dmbd,8,1,8,7,8,2,8,9,5,7,4,7,4,9,0,4,6,7,5,5,6,5,6,6,8,2,7,9,6,8,4,6,7,4,6,6,6,3,6,8,6,1,5,6,Counting1
8g4y,9,2,8,5,8,1,6,7,6,3,4,6,7,4,8,8,6,5,5,6,4,5,7,8,2,7,3,4,6,5,7,7,4,6,7,8,6,3,4,8,9,2,8,2,Speaking
qw5t,9,2,6,3,4,6,7,7,3,7,4,8,0,9,5,8,2,8,5,7,4,7,6,9,4,8,7,8,4,7,6,8,3,7,6,8,5,7,6,6,8,1,6,2,Counting2
h8r2,9,1,5,1,6,4,7,7,4,4,4,5,3,7,5,9,3,7,3,9,3,5,5,10,3,7,3,6,3,6,5,9,6,4,5,7,3,7,4,10,8,1,9,2,Counting2
2z7d,6,6,4,5,7,2,8,7,3,8,5,7,2,7,4,7,1,8,3,9,1,8,6,9,1,9,2,8,2,7,6,8,3,6,3,8,3,6,4,8,6,3,7,4,Speaking
j9h8,8,6,5,6,8,4,9,8,3,8,5,7,3,7,2,8,5,6,5,9,3,9,2,8,3,8,3,3,6,6,5,6,5,5,6,4,4,7,4,3,9,1,9,9,Stroop
9t6n,6,4,7,6,5,5,7,6,5,6,5,6,3,7,4,8,2,8,3,9,3,7,7,9,4,7,6,7,3,7,3,7,3,8,5,7,2,8,3,8,8,2,8,7,Math
u3v9,7,5,5,7,6,5,5,6,3,5,5,6,0,4,5,6,0,4,4,6,0,6,6,7,3,5,5,7,0,6,5,6,2,4,7,8,1,4,5,8,5,4,6,7,Math
w2t5,8,3,6,5,8,0,8,7,6,4,4,5,2,6,3,7,1,8,6,7,6,4,8,10,2,7,5,8,6,6,5,7,4,6,5,6,4,7,6,7,6,5,4,2,Speaking
7m3c,6,0,6,5,3,6,3,6,1,7,1,5,2,7,4,8,0,8,3,8,6,3,8,10,2,8,0,3,4,4,5,9,5,3,6,9,2,7,4,6,3,3,3,0,Counting2
6k5f,7,0,6,8,4,1,8,9,4,2,4,8,2,7,3,6,1,7,2,6,2,5,3,7,2,8,3,7,3,3,6,6,4,3,6,6,2,5,3,6,3,6,3,6,Counting2
x1q3,7,2,8,10,7,6,7,10,0,8,3,9,5,8,7,9,7,8,7,9,7,7,8,8,8,8,8,8,7,6,8,9,7,7,6,7,6,7,7,9,9,1,9,8,Counting3
r5s8,1,0,5,3,6,2,8,9,5,2,6,5,7,2,4,5,4,7,3,7,3,6,8,7,3,3,8,7,3,2,5,5,4,5,6,8,5,6,3,7,4,5,5,6,Counting3
y9z6,8,3,7,5,3,5,4,6,3,4,5,4,6,5,7,7,4,6,6,8,4,6,6,7,2,7,4,7,3,5,4,6,6,3,7,8,6,4,7,8,6,1,6,3,Speaking
4e8r,8,0,5,5,7,1,6,6,5,1,4,4,3,4,5,6,3,4,5,5,3,4,5,6,4,3,4,3,4,4,6,7,6,2,4,7,2,4,4,6,5,0,5,2,Speaking
5f7t,10,0,6,4,6,2,6,6,5,2,6,6,3,4,6,9,3,5,5,9,2,5,6,9,3,4,4,7,2,5,4,8,2,3,6,8,2,4,6,8,9,1,6,5,Speaking
k2v7,7,5,6,7,8,4,9,7,7,5,3,6,7,6,5,8,7,6,6,7,6,7,7,7,7,6,7,7,6,8,5,8,6,6,5,7,6,7,6,7,8,4,7,7,Math
6g6y,8,2,7,3,2,8,5,8,5,5,4,6,6,5,5,4,3,7,3,7,2,6,5,8,4,7,3,6,3,8,4,7,4,6,5,6,4,6,5,5,7,1,7,1,Math
9j3o,6,2,7,1,8,2,9,3,7,3,6,3,4,6,4,3,4,7,4,4,5,7,4,4,3,7,6,2,3,6,4,2,3,7,3,4,2,6,4,3,8,2,7,2,Reading
8i4i,10,0,9,7,10,0,7,7,10,0,8,7,9,0,9,7,9,1,9,7,9,1,9,7,9,0,8,8,9,0,9,8,9,0,9,8,9,1,8,8,10,0,10,9,Counting3
7h5u,8,2,6,2,9,0,7,8,3,2,5,7,5,4,6,8,4,5,6,6,2,6,4,8,4,6,7,7,3,4,6,8,4,6,6,6,4,6,7,7,8,1,7,8,Reading
h8s1,8,3,6,7,6,2,7,4,5,4,5,5,2,8,3,7,2,8,3,7,2,9,3,8,3,8,3,7,4,7,5,4,2,8,3,7,3,7,3,5,8,3,7,2,Reading
i9t9,4,6,5,7,5,5,5,7,5,5,5,7,5,5,5,7,4,6,5,7,4,6,5,7,4,6,5,7,4,6,5,7,4,6,5,7,4,6,5,7,5,5,5,7,Counting3
j1u8,7,3,9,10,7,3,10,10,7,3,10,10,10,2,10,10,7,4,10,10,9,2,10,10,9,2,10,10,9,2,10,10,9,2,10,10,9,2,10,10,8,3,10,10,Counting3
m8g5,9,1,9,8,10,0,10,9,5,4,6,8,4,6,6,6,1,8,3,6,3,7,5,6,6,4,5,6,7,2,6,7,2,7,6,5,4,5,5,6,8,3,7,9,Stroop
p9i3,7,3,5,7,7,1,8,8,3,8,2,8,4,7,4,9,4,4,5,7,4,5,6,7,3,5,5,7,4,5,6,8,7,2,8,8,4,6,6,8,9,1,8,9,Counting2
g9j5,6,7,5,3,6,7,6,2,6,6,6,2,6,6,5,2,5,6,5,2,6,6,6,3,7,5,6,3,6,6,6,3,7,5,6,4,6,4,6,4,7,4,6,3,Counting2
h7j3,7,2,5,6,9,1,8,8,8,1,7,8,7,2,5,7,8,1,6,8,6,2,7,7,6,3,6,7,8,2,7,8,8,2,7,8,8,2,7,8,9,2,7,7,Reading
y8c3,9,1,5,7,8,0,6,7,8,0,6,7,8,0,6,6,6,3,5,6,8,1,6,5,7,1,5,6,7,3,6,5,8,2,6,5,7,2,6,5,9,0,6,4,Counting2
g7r2,8,0,7,5,8,0,8,6,7,1,5,6,3,5,6,8,1,5,5,9,0,7,3,6,4,3,5,7,6,1,5,5,7,0,5,3,2,3,4,4,8,0,5,2,Counting3
f6q3,9,1,7,1,9,0,8,1,9,0,8,1,10,1,5,1,9,1,5,1,6,2,5,3,8,1,5,2,5,3,5,3,8,3,4,3,8,3,5,3,9,1,8,1,Stroop
e5p4,10,3,8,3,8,3,9,3,9,3,8,4,8,2,8,5,9,2,9,5,9,2,8,4,7,2,8,4,7,2,7,5,8,2,8,4,7,2,8,5,8,2,7,3,Counting2
d4n6,5,2,5,4,2,0,7,4,3,7,5,7,1,8,5,8,7,5,5,6,3,6,5,4,4,7,5,4,3,8,5,6,4,6,5,4,4,5,5,6,5,3,5,3,Counting1
c3m7,4,6,8,7,2,7,8,8,7,4,7,7,2,9,7,7,2,8,7,7,4,7,8,8,1,9,6,7,2,8,6,6,2,7,6,6,2,7,6,5,7,5,6,7,Stroop
b2l8,8,1,7,8,2,1,7,8,4,5,6,7,2,7,5,6,1,9,3,4,2,8,6,7,6,7,8,7,4,6,4,6,4,5,6,6,4,7,7,6,6,5,7,6,Counting2
a1k9,7,5,6,8,7,5,7,8,7,4,7,8,4,8,5,7,2,8,3,6,2,8,5,7,3,7,7,7,3,8,5,6,4,7,7,7,7,6,7,7,8,3,8,5,Counting2
t6v9,5,5,6,3,7,2,7,6,6,3,4,7,2,7,3,10,2,4,3,8,0,5,5,7,3,6,5,7,2,7,4,7,3,5,5,6,7,1,7,8,3,3,5,0,Counting2
b9w0,8,2,7,8,5,2,5,7,4,3,5,7,3,4,5,9,1,6,3,9,3,6,4,9,2,7,4,9,3,6,5,9,2,6,5,5,1,7,5,8,2,5,5,4,Counting2
